[0608/163332.015:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0616/161610.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161615.689:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161621.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161626.238:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161631.256:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161636.270:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161641.297:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161646.322:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161651.343:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161656.370:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161701.385:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161706.396:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161711.414:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161716.433:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161721.453:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161726.468:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161731.472:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161736.490:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161741.504:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161746.522:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161751.539:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161756.554:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161801.575:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161806.603:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0616/161811.620:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
